id,gender,ACE1,ACE2,ACE3,ACE4,ACE5,ACE6,ACE7,ACE8,ACE9,ACE10,RSQ1,RSQ2,RSQ3,RSQ4,RSQ5,RSQ6,RSQ7,RSQ8,RSQ9,RSQ10,RSQ11,RSQ12,RSQ13,RSQ14,RSQ15,RSQ16,RSQ17,RSQ18,RSQ19,RSQ20,RSQ21,RSQ22,RSQ23,RSQ24,RSQ25,RSQ26,RSQ27,RSQ28,RSQ29,RSQ30
1,2,0,0,0,0,0,0,0,0,0,0,2,5,3,3,5,4,3,3,4,3,5,4,3,5,5,5,2,3,3,3,5,1,3,2,3,3,3,4,3,3
2,1,0,0,0,0,0,0,1,0,0,0,4,4,3,2,4,2,5,3,5,2,4,4,4,5,4,5,2,1,4,3,4,2,5,4,3,4,4,2,3,4
3,2,0,0,0,0,0,0,0,1,0,0,3,5,3,1,4,3,3,3,2,3,4,4,4,4,4,4,3,1,5,4,4,2,3,3,2,5,4,5,5,3
4,1,0,1,0,0,0,1,0,0,0,0,2,2,5,5,2,1,2,4,4,3,2,2,2,5,3,1,2,2,3,2,3,1,1,1,2,2,2,3,1,2
5,2,0,1,0,0,0,1,0,0,0,0,3,4,4,5,3,2,3,5,5,3,5,3,1,5,4,4,2,1,5,3,5,2,3,2,3,3,4,4,2,4
6,1,1,1,0,0,0,0,0,1,0,1,3,4,1,5,3,5,3,5,4,5,5,5,1,5,5,5,2,5,4,1,5,5,5,3,5,4,4,5,1,4
7,2,0,0,0,1,0,0,0,1,1,1,5,5,1,2,5,5,NA,1,5,1,5,5,5,2,4,5,5,1,5,3,5,3,5,4,5,5,1,5,2,1
8,1,1,1,0,0,0,0,0,0,0,0,4,5,3,4,2,3,2,5,3,2,NA,2,2,5,3,3,3,NA,4,2,2,3,1,2,NA,4,4,3,NA,NA
9,2,0,0,0,0,0,1,0,0,1,0,3,3,4,3,2,4,3,3,4,2,3,4,2,4,3,5,2,2,3,3,5,3,5,2,2,3,3,5,3,3
10,1,1,0,0,1,0,1,0,1,0,0,4,4,2,2,3,4,4,2,3,1,4,5,5,2,3,3,3,2,4,5,3,3,3,4,2,3,3,2,3,3
11,2,0,0,0,0,0,0,0,0,0,0,4,5,2,2,2,3,2,3,1,2,1,2,3,3,4,4,2,1,4,2,1,2,1,3,2,4,4,1,5,2
12,2,0,0,0,1,0,1,0,1,0,1,3,5,2,3,5,4,5,3,3,2,5,5,2,5,4,5,3,2,4,2,5,3,2,2,2,4,3,3,1,3
13,2,0,0,0,0,0,0,0,0,0,0,3,4,5,3,3,2,3,3,5,3,4,2,3,4,4,5,3,2,3,4,4,3,4,2,3,3,4,5,2,4
14,2,0,0,0,0,0,1,0,1,1,0,3,3,5,4,5,3,3,4,5,3,5,4,4,5,5,5,3,5,4,5,5,4,5,3,4,5,4,5,3,5
15,2,1,0,1,1,0,0,0,0,0,0,2,5,4,4,5,4,3,4,5,4,4,5,5,5,5,5,3,2,4,5,5,2,5,3,3,3,2,5,4,3
16,1,0,0,0,0,0,1,0,0,0,0,4,5,NA,3,1,4,2,1,1,1,1,2,1,3,4,1,1,1,4,1,1,3,1,1,1,5,3,1,2,3
17,1,0,0,0,0,0,0,0,0,0,0,1,5,3,1,1,5,5,2,1,2,2,4,1,2,5,3,3,3,3,3,3,3,3,3,1,4,3,2,3,5
18,1,0,0,0,0,0,0,0,0,0,0,4,5,5,5,5,4,5,5,1,2,4,4,2,5,4,5,2,1,5,3,4,2,1,3,1,5,3,2,1,4
19,2,0,0,0,0,0,1,0,0,0,0,1,3,2,3,3,3,1,3,3,3,4,4,4,3,3,3,3,1,3,3,3,4,3,2,1,4,4,2,2,2
20,2,0,1,1,0,0,1,0,0,0,0,5,5,5,3,5,5,5,3,1,3,5,5,2,2,5,5,5,3,4,2,5,3,3,4,4,3,4,4,4,3
21,1,0,0,0,1,0,1,0,0,1,0,3,5,2,1,3,2,4,2,3,3,4,4,5,4,2,4,4,1,5,4,4,3,2,4,4,4,2,3,5,2
22,2,1,0,0,1,0,1,0,1,1,0,5,4,5,2,4,2,5,3,5,1,1,5,3,4,5,5,5,2,2,2,1,1,3,3,3,5,2,5,5,3
23,2,0,0,0,0,0,0,0,0,0,0,3,4,5,5,5,3,5,4,5,2,3,4,2,4,3,5,4,3,3,4,5,2,4,3,3,4,2,3,2,3
24,2,0,0,0,0,0,0,0,0,0,0,5,3,5,5,5,3,5,5,5,4,4,5,5,5,5,5,4,3,3,4,5,3,5,2,4,3,4,5,3,4
25,1,0,0,0,0,0,0,0,0,0,0,4,4,3,2,5,4,5,2,3,2,2,4,1,4,5,5,3,1,5,2,3,2,3,3,2,5,2,2,2,3
26,1,0,0,0,0,0,0,0,0,0,0,4,4,1,2,3,5,5,3,2,1,3,3,3,4,5,1,2,1,4,5,4,2,1,4,5,5,2,3,3,2
27,2,0,0,0,0,0,0,0,0,0,0,1,4,5,4,3,5,1,3,3,5,1,2,1,5,5,1,1,1,5,1,1,2,1,1,1,1,5,3,1,4
28,2,1,0,0,1,0,1,1,1,1,1,2,3,4,5,3,1,3,4,5,3,5,5,2,4,3,5,3,3,2,2,5,2,5,1,4,2,3,5,2,4
29,2,0,0,1,0,0,1,0,0,1,0,4,5,5,1,1,3,4,2,3,1,4,4,2,3,2,4,3,1,4,2,4,3,1,3,2,5,2,1,1,1
30,2,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,3,4,3,3,3,3,4,3,3,4,4,1,1,4,2,3,3,1,4,1,2,4,4,3,4
31,2,0,0,0,1,0,1,0,0,1,0,4,4,1,1,5,4,4,2,1,2,5,4,4,3,1,2,3,1,4,4,3,4,2,4,1,4,2,4,5,1
32,1,0,0,0,0,0,0,0,0,0,0,3,3,4,2,2,3,2,4,2,3,2,2,2,4,4,3,2,2,3,2,2,2,2,2,2,3,4,2,2,4
33,2,1,0,0,1,0,0,0,0,1,0,4,3,2,5,4,2,5,5,5,2,5,4,4,5,5,5,4,5,4,4,5,3,2,4,3,5,3,5,2,1
34,1,0,0,0,0,0,0,0,0,0,0,3,4,5,2,5,2,2,4,5,4,4,4,3,5,3,4,3,1,3,3,5,3,5,2,3,NA,2,5,2,3
35,2,0,0,0,0,0,1,0,0,1,0,4,5,3,2,5,3,5,2,5,3,4,5,5,2,2,5,3,2,5,5,4,4,4,4,3,4,2,4,3,2
36,2,0,0,0,1,0,0,0,0,0,0,3,3,3,1,2,1,2,2,3,2,3,3,2,2,2,2,2,1,2,1,3,1,2,1,1,4,3,2,1,3
37,2,0,0,0,0,0,0,0,0,0,0,1,1,5,5,1,1,1,5,1,5,1,1,1,5,5,1,1,3,1,1,1,1,1,1,3,1,5,1,1,5
38,1,0,0,0,0,0,0,0,0,0,0,3,4,3,3,2,4,4,1,1,1,1,1,1,1,4,4,3,1,5,1,1,3,1,1,1,5,3,1,3,3
39,2,1,0,0,0,0,0,0,0,0,0,4,NA,2,1,2,2,2,2,3,3,1,2,1,3,5,4,2,1,4,1,1,1,2,1,1,2,4,1,3,3
40,2,0,0,0,1,0,1,0,1,0,0,1,2,3,2,2,2,1,4,4,4,2,2,1,5,3,5,1,2,3,2,4,3,4,2,4,1,4,5,2,4
41,2,0,0,0,0,0,1,1,1,0,0,3,5,3,5,3,1,3,4,3,5,1,3,3,4,2,3,2,1,5,2,1,2,2,1,2,5,2,1,1,3
42,2,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,3,5,4
43,1,1,1,0,0,0,0,0,0,1,0,3,2,4,4,3,2,3,2,5,3,4,5,5,4,4,3,3,4,4,3,5,3,4,3,2,3,3,4,1,3
44,1,0,0,0,0,0,0,0,0,0,0,4,2,4,1,3,2,3,2,2,2,4,3,2,5,4,5,3,1,4,1,4,2,2,1,4,4,3,4,1,4
45,2,0,0,0,0,0,0,0,0,0,0,3,5,3,3,4,3,5,3,4,1,2,5,4,3,4,5,3,3,5,2,3,3,2,2,3,4,3,2,1,3
46,2,0,0,0,0,0,1,0,1,1,0,1,4,4,2,3,2,3,1,1,3,2,2,1,3,5,3,1,1,4,1,2,1,1,2,1,1,2,3,2,4
47,2,0,0,0,0,0,1,0,0,0,0,3,5,3,3,5,4,4,3,5,1,5,5,4,3,2,2,1,1,4,5,NA,5,1,4,5,5,2,3,2,2
48,1,0,0,0,0,0,0,0,0,0,0,1,1,4,3,2,2,1,3,1,5,3,2,1,4,3,5,2,1,1,1,1,4,1,2,1,1,4,3,2,5
49,1,0,0,0,0,0,1,0,0,0,0,3,3,3,4,5,3,4,4,2,2,2,4,4,4,4,4,3,4,4,2,2,2,1,1,2,4,4,2,2,4
50,2,0,0,0,0,0,1,0,0,0,0,3,3,3,3,1,2,2,3,1,3,1,2,1,4,4,1,1,1,4,1,1,2,1,1,1,3,4,1,1,3
51,2,0,0,0,0,0,0,1,0,0,0,2,3,2,3,2,4,4,3,4,3,NA,2,2,3,2,4,1,1,3,3,4,4,2,3,1,3,4,3,NA,3
52,2,0,0,0,0,0,0,0,0,0,0,3,5,2,4,4,3,2,3,1,2,2,2,4,4,5,4,2,1,5,3,2,1,2,3,1,4,3,2,3,2
53,2,0,0,0,0,0,1,0,0,1,0,3,5,3,NA,3,3,2,3,1,1,1,2,2,3,2,1,2,1,4,2,1,3,1,2,1,5,4,1,2,3
54,1,0,0,0,0,0,0,0,0,0,0,2,5,5,3,2,3,2,3,1,4,2,2,2,4,5,2,2,2,5,2,2,2,1,1,4,2,5,3,2,4
55,1,0,0,0,0,0,1,0,0,0,1,3,5,3,3,2,3,3,3,1,3,1,1,1,3,5,1,2,1,4,1,1,1,1,1,1,3,2,1,1,4
56,2,1,0,0,1,0,1,0,1,1,0,3,2,2,3,5,3,5,5,5,3,2,3,4,5,3,5,2,1,4,3,3,3,3,3,2,3,3,4,2,2
57,2,1,0,0,1,0,1,1,1,1,1,3,5,2,2,5,2,4,2,4,2,4,4,4,2,2,5,4,2,2,3,4,1,4,3,3,3,3,2,2,3
58,1,1,0,0,1,0,1,0,0,0,0,1,5,3,5,1,1,1,5,4,4,1,1,1,5,5,2,1,1,4,2,1,2,1,2,1,2,5,2,1,3
59,1,0,0,0,0,0,1,0,0,0,0,2,5,5,5,4,3,1,3,1,3,2,2,3,5,5,4,2,2,5,4,2,1,1,1,1,2,4,2,1,4
60,2,0,0,0,0,0,1,0,0,0,0,3,5,5,5,5,4,4,4,3,2,4,5,5,5,5,5,2,1,5,4,5,1,2,2,4,4,4,4,1,2
61,2,0,0,0,0,0,0,0,0,1,0,4,5,5,5,5,3,5,5,5,4,4,4,4,5,5,5,4,5,4,4,5,3,5,3,5,4,3,4,3,3
62,1,1,1,0,0,0,1,0,0,0,0,5,1,4,5,3,4,NA,3,3,3,1,5,2,NA,NA,NA,4,3,5,2,2,3,1,2,2,5,2,2,2,4
63,1,0,0,0,0,0,0,0,0,0,0,1,1,5,5,3,5,2,5,1,5,3,1,1,4,5,3,1,3,4,2,4,5,1,1,3,4,5,1,1,4
64,1,0,0,0,0,0,0,0,0,0,0,2,5,3,4,2,4,3,2,2,1,2,2,2,3,4,3,3,3,5,3,2,3,2,2,2,2,3,2,3,3
65,2,0,0,0,0,0,0,0,0,0,0,2,4,4,3,5,3,3,2,2,2,4,5,3,5,5,5,4,2,3,2,3,1,2,5,4,3,3,1,2,4
66,2,0,0,0,0,0,0,0,0,0,0,1,3,2,1,1,5,1,1,1,3,1,3,1,3,3,1,1,1,3,1,1,3,1,1,1,3,3,1,1,3
67,2,1,0,1,0,0,1,1,1,1,0,1,5,5,5,5,5,5,5,5,1,5,5,1,5,5,1,3,3,5,1,5,1,5,1,1,5,2,1,1,5
68,1,0,0,0,0,0,0,0,0,0,0,3,4,4,3,5,3,1,3,1,3,4,5,3,4,3,4,1,1,4,2,3,2,1,1,1,3,4,NA,2,4
69,1,1,1,1,1,0,1,0,1,0,0,5,3,1,5,4,2,5,5,5,3,5,5,5,5,5,5,5,4,5,4,5,4,5,1,4,5,2,4,1,1
70,2,0,0,0,0,1,1,1,1,1,1,4,4,4,4,1,3,3,3,2,2,2,1,1,2,4,3,2,3,5,1,2,3,1,2,2,4,4,3,2,4
71,1,0,0,0,0,0,0,0,0,0,0,3,4,3,5,2,1,3,4,4,4,3,2,1,5,4,4,1,3,3,3,4,2,3,1,3,3,5,3,1,3
72,1,1,1,1,0,0,1,0,0,1,0,5,5,1,1,5,4,5,2,5,2,5,5,5,1,1,5,5,1,5,4,5,5,5,4,5,5,2,5,2,1
73,1,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,1,4,5,5,3,5,5,5,5,5,5,5,3,5,3,5,3,5,3,5,3,4,5,2,5
74,2,1,1,0,1,0,1,0,0,1,0,3,4,5,5,4,2,3,4,5,3,4,4,4,5,3,5,3,4,4,4,5,4,5,2,2,2,2,4,2,4
75,1,1,0,0,0,0,0,0,0,0,0,2,3,4,4,2,1,2,4,1,3,1,2,1,5,5,4,1,1,2,1,1,1,1,1,NA,3,5,1,1,5
76,1,0,0,0,0,0,1,0,0,0,0,3,4,5,1,5,3,3,3,4,3,4,5,3,4,4,4,3,1,4,2,5,2,3,2,2,3,4,4,2,4
77,2,0,0,0,0,0,1,0,0,0,0,1,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1
78,2,1,1,0,0,0,1,0,1,0,0,5,5,2,1,5,2,5,3,5,1,3,5,5,3,4,4,3,1,3,5,4,2,3,3,1,5,3,5,5,2
79,2,0,0,0,0,0,0,0,0,1,0,3,5,2,4,4,2,5,5,5,2,3,4,3,5,5,5,3,2,3,4,3,2,5,3,2,3,5,1,4,2
80,2,0,0,0,0,0,0,0,0,0,0,3,5,2,5,5,1,3,3,2,2,3,5,5,4,4,3,2,2,5,3,1,2,1,2,3,2,5,1,5,4
81,2,0,0,0,0,0,0,0,0,0,0,2,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
82,1,1,1,0,0,0,0,0,0,0,0,3,5,1,3,1,3,3,3,1,3,2,1,1,4,3,4,3,3,5,3,4,3,4,1,1,4,3,4,3,5
83,2,0,1,0,0,0,1,1,0,1,0,3,5,3,2,5,3,5,3,2,1,3,5,2,4,3,4,1,1,5,3,4,2,4,3,2,5,4,4,2,4
84,1,0,0,0,0,0,0,0,0,0,0,4,4,2,4,5,5,5,5,5,3,5,5,5,5,2,5,3,5,5,5,5,5,5,5,5,5,3,4,4,2
85,1,0,0,0,0,0,1,0,0,0,0,4,5,5,5,5,5,4,5,4,3,4,5,3,NA,5,4,3,2,4,3,4,4,3,2,5,5,4,4,2,5
86,2,0,0,0,0,0,1,0,0,0,0,2,4,4,3,5,4,3,4,4,4,4,4,2,5,4,5,2,2,4,2,5,2,4,2,2,3,4,4,2,4
87,2,1,0,1,0,0,0,0,1,1,0,3,5,3,1,4,1,3,2,2,1,1,2,1,5,2,3,3,2,5,5,1,4,1,3,3,4,3,3,1,1
88,1,0,0,0,0,0,0,0,0,0,0,3,4,4,3,2,1,3,3,1,3,2,3,2,4,4,2,1,2,5,1,3,2,1,1,2,3,4,2,4,4
89,2,0,0,0,0,0,0,0,0,0,0,1,4,3,3,2,2,2,1,2,1,3,2,1,4,1,4,2,1,5,2,5,3,1,3,3,3,3,3,3,3
90,2,0,0,0,1,0,1,0,0,1,0,3,3,2,4,4,3,4,3,4,3,2,5,3,4,3,3,3,1,3,3,2,2,4,2,2,3,2,2,3,2
91,2,1,0,0,0,0,0,0,0,0,0,3,3,2,3,2,2,3,2,5,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4
92,1,0,0,0,0,0,0,0,0,0,0,5,5,5,NA,4,4,2,4,3,3,1,1,1,1,1,1,3,4,2,2,3,NA,4,2,3,3,2,4,3,5
93,2,0,0,0,0,0,0,0,0,0,0,3,5,2,1,3,3,3,2,1,2,3,4,3,3,4,4,2,1,4,2,2,2,2,2,1,4,3,1,1,2
94,2,0,0,1,1,0,0,0,1,1,1,4,4,5,4,5,3,5,5,5,2,5,4,4,5,4,4,3,5,5,4,5,2,5,3,5,2,3,5,4,3
95,2,0,0,0,0,0,0,0,0,0,0,3,4,3,2,3,2,3,3,2,3,2,2,2,4,3,4,3,1,4,2,3,3,2,2,2,4,2,3,1,3
96,2,0,0,0,0,0,0,0,0,0,0,3,2,5,5,5,2,3,4,4,3,3,3,2,4,4,5,2,3,3,3,2,3,1,1,3,3,5,2,1,5
97,2,1,1,1,0,0,1,1,1,1,0,5,5,1,3,5,3,4,2,4,2,4,4,4,3,2,5,3,4,4,4,5,3,4,4,3,NA,2,5,3,1
98,2,1,1,1,0,0,1,1,1,1,1,5,5,3,3,5,2,5,2,5,1,4,5,3,3,4,5,4,3,4,1,5,2,5,2,3,5,2,4,2,1
99,2,0,0,0,1,0,0,0,0,0,0,4,4,3,3,2,3,4,3,1,1,1,3,2,2,2,5,5,2,3,2,2,2,1,2,1,4,3,1,1,2
100,2,0,0,0,0,0,0,0,0,0,0,3,2,4,3,4,3,1,3,2,1,3,4,3,5,4,3,1,1,2,2,2,3,2,1,2,5,5,2,3,2
101,2,0,0,0,1,0,1,0,0,0,0,3,4,5,4,4,3,4,3,3,3,2,3,1,4,5,4,3,2,4,1,4,3,3,1,3,3,4,3,1,3
102,2,1,1,0,1,1,1,0,1,1,1,5,5,2,2,4,4,5,3,3,1,3,5,3,NA,2,4,3,2,5,3,4,4,2,4,3,5,2,2,3,2
103,2,0,0,0,0,0,0,0,1,1,0,3,3,3,3,3,3,3,3,3,4,3,2,2,2,3,4,2,3,3,NA,4,3,3,3,3,4,3,3,4,3
104,1,0,0,0,0,0,0,0,0,0,0,1,3,3,2,2,3,2,3,1,4,1,2,2,2,4,1,2,1,4,1,1,3,1,1,1,3,3,1,2,3
105,2,0,0,0,0,0,0,0,0,1,0,3,4,4,3,2,2,4,3,3,1,2,4,3,5,3,4,2,2,3,3,2,4,2,4,1,3,3,5,3,2
106,2,1,1,0,1,1,1,0,0,1,0,5,5,4,4,4,1,5,4,5,2,4,4,4,4,5,5,4,4,4,3,4,2,5,3,4,2,2,5,2,3
107,2,0,0,0,0,0,0,0,0,0,0,3,4,2,3,4,3,3,4,2,2,2,2,3,5,5,3,1,1,3,3,2,1,1,2,1,3,5,1,3,3
108,2,1,1,1,1,0,1,0,1,1,1,4,5,2,1,4,2,5,3,5,3,4,3,4,5,3,5,1,2,4,4,5,3,5,4,3,4,2,5,4,1
109,2,0,0,0,0,0,1,0,0,0,1,3,4,4,3,5,5,5,3,4,2,4,4,3,5,3,5,4,4,3,3,5,4,4,2,4,4,3,4,2,3
110,2,0,0,0,0,0,0,0,0,0,0,3,3,5,3,2,4,1,4,4,3,3,4,1,4,4,1,2,1,5,2,3,3,1,1,1,2,4,1,1,5
111,2,1,0,0,0,0,1,0,0,0,0,4,4,4,4,5,2,3,2,4,3,5,4,2,5,3,5,NA,NA,4,2,5,3,5,2,2,4,3,5,2,3
112,1,1,1,0,1,0,1,0,1,1,0,4,5,3,2,3,3,4,3,5,3,5,2,5,4,5,5,3,1,5,3,4,1,2,3,2,4,3,5,3,3
113,1,0,0,0,0,0,1,1,1,1,0,3,3,2,3,2,2,2,3,4,3,4,4,2,4,4,3,2,2,2,2,3,2,2,3,2,3,3,4,2,2
114,2,0,0,0,0,0,1,0,0,0,0,3,4,4,3,3,2,2,5,4,4,4,3,3,3,3,3,3,1,3,2,2,2,2,1,NA,NA,NA,NA,NA,NA
115,2,1,1,0,0,0,1,0,0,1,0,3,5,3,NA,4,2,3,3,4,2,3,4,4,4,5,4,2,2,5,2,4,2,2,3,2,4,4,2,3,3
116,1,0,0,1,0,0,0,0,0,0,0,3,2,4,1,4,3,1,2,5,4,2,3,1,3,4,3,1,1,3,2,1,2,4,2,2,2,3,4,1,3
117,2,1,0,0,1,0,1,1,0,1,0,5,5,4,4,5,1,5,4,4,1,1,4,4,5,3,5,3,2,5,2,3,1,5,1,2,5,2,3,1,4
118,1,0,0,0,0,0,0,0,0,0,0,4,5,1,1,2,4,1,2,1,1,1,4,4,2,4,4,1,1,4,2,2,2,1,3,1,4,3,1,2,1
119,2,0,0,0,0,0,0,0,0,0,0,3,5,1,1,2,3,2,3,3,1,1,3,3,3,3,2,1,1,3,2,1,3,2,4,1,4,4,2,5,2
120,2,0,0,0,0,0,0,0,0,0,0,4,5,1,1,3,5,4,2,2,3,1,4,4,2,5,3,3,1,5,3,1,2,1,3,1,5,3,1,5,2
121,2,0,0,0,0,0,1,0,1,0,0,4,4,3,3,2,3,1,1,3,2,1,2,2,5,4,2,1,1,4,2,2,3,1,2,2,4,4,3,1,2
122,1,0,0,0,0,0,0,0,0,0,0,4,4,2,3,3,5,3,2,1,3,3,4,4,2,3,3,3,1,5,3,2,3,1,4,2,3,5,1,3,2
123,2,0,0,0,0,0,0,0,0,1,1,2,3,5,5,3,1,2,5,5,3,2,2,1,5,5,4,2,3,3,1,4,2,5,1,4,3,3,5,1,5
124,2,0,0,0,0,0,1,0,0,0,0,3,3,3,4,3,3,2,4,2,3,2,2,2,4,4,2,3,3,3,2,2,2,2,2,2,2,4,2,2,3
125,1,1,0,0,0,0,0,0,0,1,0,3,2,4,1,3,3,2,4,5,3,2,3,2,5,4,4,1,1,3,2,3,4,2,3,4,2,5,4,1,4
126,2,0,0,0,0,0,0,0,0,0,0,1,5,3,3,4,2,3,3,2,2,2,3,2,3,3,2,2,2,2,3,3,2,2,3,3,4,2,2,1,2
127,2,0,0,0,0,0,0,0,0,0,0,4,5,4,3,4,3,4,2,1,3,1,2,1,3,3,3,3,1,5,3,1,3,1,2,1,3,2,1,1,3
128,1,1,0,0,0,0,1,0,1,0,0,2,3,4,1,2,2,3,4,3,3,3,2,1,4,3,3,1,1,3,2,2,1,1,1,4,3,3,4,1,2
129,1,0,0,0,0,0,0,0,0,1,0,4,3,4,2,5,4,5,3,3,3,4,3,1,4,5,4,3,2,2,3,4,1,2,2,3,2,2,3,1,3
130,2,0,0,0,0,0,1,0,1,1,0,5,5,1,1,5,3,5,2,4,1,4,5,4,5,5,5,4,2,5,3,5,2,5,1,2,5,3,2,1,1
131,2,0,0,0,0,0,1,0,0,0,0,5,3,2,1,5,5,5,2,1,1,1,5,2,1,3,5,5,4,5,5,5,3,4,4,2,5,2,2,5,5
132,2,0,0,0,0,0,0,0,0,0,0,3,3,2,4,3,3,2,2,4,2,3,4,2,5,2,3,3,5,4,4,4,3,3,4,3,4,4,3,2,3
133,2,0,0,0,0,0,0,0,0,0,0,5,5,3,4,3,NA,3,3,2,2,3,4,4,4,3,5,3,3,5,3,3,4,4,4,3,5,3,2,4,4
134,1,0,0,0,0,0,0,0,0,0,0,4,4,1,2,2,2,4,3,4,2,3,5,2,4,4,4,3,2,4,2,4,2,3,2,2,4,3,3,2,3
135,2,1,1,1,1,1,1,0,0,1,0,4,4,2,4,5,4,4,5,4,2,4,4,4,5,3,5,4,2,4,3,5,3,5,4,3,3,3,5,3,2
136,2,1,1,0,1,0,1,0,1,0,0,3,5,2,2,5,1,5,3,5,2,3,4,2,5,5,4,2,1,5,4,4,1,5,3,3,4,3,1,4,3
137,2,1,1,0,1,0,0,0,1,0,0,3,4,5,3,5,4,4,3,2,3,3,4,5,3,5,4,4,2,4,5,3,3,2,3,3,4,3,4,5,4
138,2,0,0,0,0,0,0,0,0,0,0,3,4,2,4,3,2,1,3,1,3,1,3,2,4,2,3,1,1,5,2,1,2,1,3,2,4,5,1,2,3
139,1,0,0,0,0,0,1,0,0,0,0,2,4,4,4,3,3,1,4,4,3,4,5,3,3,4,4,1,3,4,2,4,3,2,2,2,3,5,5,2,4
